"X..i.."
"GALNT13"
"GALNT2"
"C1orf131"
"PTPN14"
"RYR2"
"AGT"
"ARV1"
"ASPM"
"ATP6V1G3"
"B3GALT2"
"C1orf124"
"C1orf198"
"C1orf218"
"C1orf27"
"C1orf53"
"CAPN9"
"CDC73"
"CFH"
"CFHR1"
"CFHR2"
"CFHR3"
"CFHR4"
"CFHR5"
"COG2"
"CRB1"
"DENND1B"
"DISC1"
"DUSP27"
"EGLN1"
"ESRRG"
"EXOC8"
"F13B"
"FAM58BP"
"FAM5C"
"FAM89A"
"GNPAT"
"GPATCH2"
"HMCN1"
"KCNK2"
"KCNT2"
"KCTD3"
"LHX9"
"NEK7"
"OCLM"
"PDC"
"PGBD5"
"PLA2G4A"
"PRG4"
"PTGS2"
"PTPRC"
"SPATA17"
"SPRTN"
"TPR"
"TRIM67"
"TSNAX"
"TTC13"
"USH2A"
"ZBTB41"
"ABCB10"
"ACTA1"
"ARF1"
"ASTN1"
"C1orf148"
"C1orf35"
"C1orf96"
"CAPN2"
"CCSAP"
"CDC42BPA"
"CENPF"
"CHRM3"
"FAM129A"
"FAM5B"
"GJC2"
"GLRX2"
"GUK1"
"HIST3H2A"
"HIST3H2BB"
"HIST3H3"
"IBA57"
"IVNS1ABP"
"JMJD4"
"KIAA1383"
"LYPLAL1"
"MRPL55"
"NME7"
"NTPCR"
"NUP133"
"OBSCN"
"PAPPA2"
"PCNXL2"
"PRSS38"
"RAB4A"
"RFWD2"
"RGS7"
"RHOU"
"RNF187"
"RNF2"
"RRP15"
"SHANK2"
"SIPA1L2"
"KRTAP9L2"
"PRSS2"
"C9orf53"
"CDKN2A"
"CDKN2A(p14)"
"HSPC159"
"LCE3B"
"LCE3C"
"SCAPER"
"CCDC85C"
"CDKN2B"
"FRMD3"
"MTAP"
"GRIA1"
"GSTT1"
"OR51A2"
"ADAM18"
"CDH13"
"DMRTA1"
"HLA-E"
"RELN"
"RFPL2"
"RPS4Y2"
"ABHD4"
"ATL1"
"C1orf196"
"CDY2A"
"COL4A2"
"DAD1"
"FAM19A1"
"FHIT"
"FTO"
"HSFY1"
"KDM5D"
"KRT40"
"LPAR1"
"MYOM2"
"NIN"
"OR52N1"
"OR52N5"
"PAK7"
"SAV1"
"SH3GL2"
"TMSB4Y"
"TREML4"
"UGT2B17"
"ZNF385D"
"ABCD1"
"ABHD12B"
"AC005609.1"
"ADAM32"
"ADAMTSL1"
"ADARB1"
"AIM1"
"AIRE"
"AK4"
"ALX4"
"AMELY"
"ANK2"
"ANXA3"
"ARHGAP22"
"ARHGAP4"
"ARHGEF35"
"ARHGEF5"
"ASS1"
"ATP2B3"
"ATP5S"
"ATP6AP1"
"AVPR2"
"B3GNTL1"
"BCAP31"
"BCL11A"
"BCORP1"
"BET3L"
"BGN"
"BOLA1"
"BPGM"
"BPY2"
"BRCC3"
"BTNL3"
"C1orf200"
"C21orf2"
"C21orf67"
"C21orf70"
"C21orf90"
"C3orf21"
"C6orf118"
"C6orf120"
"C6orf124"
"C6orf70"
"CA6"
"CABS1"
"CACNB4"
"CaMK1b"
"CAMTA1"
"CD200R1"
"CDCP1"
"CDKL1"
"CDY1"
"CDY1B"
"CSMD3"
"TRPS1"
"EIF3H"
"EXT1"
"SAMD12"
"RAD21"
"SLC30A8"
"C8orf85"
"COL14A1"
"UTP23"
"MTSS1"
