,gene_name,ID,event
180,ACSL6,EE87811,GAIN
181,ACSM1,EE87811,GAIN
182,ACSM2A,EE87811,GAIN
183,ACSM2B,EE87811,GAIN
184,ACSM3,EE87811,GAIN
185,ACSM5,EE87811,GAIN
186,ACSM6,EE87811,GAIN
187,ACSS1,EE87811,GAIN
188,ACSS2,EE87811,GAIN
189,ACSS3,EE87811,GAIN
190,ACTA1,EE87811,HETD
191,ACTA2,EE87811,GAIN
192,ACTBL2,EE87811,HETD
193,ACTC1,EE87811,GAIN
194,ACTG1,EE87811,GAIN
195,ACTG2,EE87811,GAIN
196,ACTL10,EE87811,GAIN
197,ACTL6A,EE87811,HETD
198,ACTL6B,EE87811,GAIN
199,ACTL7B,EE87811,GAIN
200,ACTL8,EE87811,GAIN
201,ACTL9,EE87811,GAIN
202,ACTN4,EE87811,GAIN
203,ACTR10,EE87811,HETD
204,ACTR1A,EE87811,GAIN
205,ACTR1B,EE87811,GAIN
206,ACTR2,EE87811,GAIN
207,ACTR3,EE87811,GAIN
208,ACTR3B,EE87811,GAIN
209,ACTR3C,EE87811,GAIN
210,ACTR5,EE87811,GAIN
211,ACTR6,EE87811,GAIN
212,ACTR8,EE87811,GAIN
213,ACTRT1,EE87811,GAIN
214,ACTRT2,EE87811,GAIN
215,ACTRT3,EE87811,HETD
216,ACVR1,EE87811,HETD
217,ACVR1B,EE87811,GAIN
218,ACVR1C,EE87811,HETD
219,ACVR2A,EE87811,GAIN
220,ACVR2B,EE87811,GAIN
221,ACVRL1,EE87811,GAIN
222,ACY3,EE87811,GAIN
223,ADA,EE87811,GAIN
224,ADA2,EE87811,GAIN
225,ADAD1,EE87811,GAIN
226,ADAD2,EE87811,GAIN
227,ADAM10,EE87811,HETD
228,ADAM11,EE87811,GAIN
229,ADAM12,EE87811,GAIN
230,ADAM15,EE87811,GAIN
231,ADAM17,EE87811,GAIN
232,ADAM18,EE87811,GAIN
233,ADAM19,EE87811,HETD
234,ADAM2,EE87811,GAIN
235,ADAM21,EE87811,GAIN
236,ADAM22,EE87811,GAIN
237,ADAM23,EE87811,HETD
238,ADAM28,EE87811,GAIN
239,ADAM29,EE87811,HETD
240,ADAM30,EE87811,GAIN
241,ADAM33,EE87811,GAIN
242,ADAM7,EE87811,GAIN
243,ADAM8,EE87811,GAIN
244,ADAM9,EE87811,GAIN
245,ADAMDEC1,EE87811,GAIN
246,ADAMTS1,EE87811,GAIN
247,ADAMTS10,EE87811,GAIN
248,ADAMTS13,EE87811,GAIN
249,ADAMTS16,EE87811,GAIN
250,ADAMTS17,EE87811,GAIN
251,ADAMTS18,EE87811,GAIN
252,ADAMTS2,EE87811,HETD
253,ADAMTS20,EE87811,GAIN
254,ADAMTS3,EE87811,GAIN
255,ADAMTS4,EE87811,HETD
256,ADAMTS5,EE87811,GAIN
257,ADAMTS6,EE87811,GAIN
258,ADAMTS7,EE87811,GAIN
259,ADAMTS8,EE87811,GAIN
260,ADAMTS9,EE87811,GAIN
261,ADAMTSL1,EE87811,GAIN
262,ADAMTSL2,EE87811,GAIN
