sample,region-set,Dip_area,Dip_depth
EE87953,colon_cluster507_hg38,-0.34,-1.11
EE87953,A549_hg38,-0.73,0.45
EE87953,panc_epithel_cluster1974_hg38,1.24,0.86
EE87953,HPF_lung_fibroblast_cluster1737_hg38,1.2,-0.42
EE87953,melano_SOX_clusters1863_2205_hg38,-1.55,-0.47
EE87953,HeLa_cluster1777_hg38,1.59,-0.37
EE87953,panc_adenoca_cluster1261_hg38,-1.34,0.93
EE87953,mammary_epithel_cluster2438_hg38,-0.22,-0.08
EE87953,hematopoietic_specific_liquorice_hg38,1.04,-0.76
EE87953,skeletal_muscle_cluster1518_hg38,-0.34,-0.11
EE87953,SAEC_hg38,0.88,-0.46
EE87810,prostate_cluster2483_hg38,-2.58,0.02
EE87810,hepatocyte_all_hg38,0.26,-0.12
EE87810,colon_cluster507_hg38,-0.2,-0.89
EE87810,A549_hg38,-1.38,0.68
EE87810,panc_epithel_cluster1974_hg38,-1.86,1.02
EE87810,HPF_lung_fibroblast_cluster1737_hg38,0.82,-0.29
EE87810,melano_SOX_clusters1863_2205_hg38,0.14,-0.4
EE87810,HeLa_cluster1777_hg38,1.11,0.35
EE87810,panc_adenoca_cluster1261_hg38,0.55,-1.83
EE87810,mammary_epithel_cluster2438_hg38,0.78,-1.96
EE87810,hematopoietic_specific_liquorice_hg38,0.2,0.9
EE87810,skeletal_muscle_cluster1518_hg38,1.6,-3.18
EE87810,SAEC_hg38,0.94,-0.87
EE88242,prostate_cluster2483_hg38,-0.43,0.6
EE88242,hepatocyte_all_hg38,-1.75,-0.14
EE88242,colon_cluster507_hg38,0.94,-0.9
EE88242,A549_hg38,0.02,0.4
EE88242,panc_epithel_cluster1974_hg38,1.64,-0.8
EE88242,HPF_lung_fibroblast_cluster1737_hg38,0.76,0.51
EE88242,melano_SOX_clusters1863_2205_hg38,0.53,-0.6
EE88242,HeLa_cluster1777_hg38,-1.14,-0.92
EE88242,panc_adenoca_cluster1261_hg38,-2.02,0.13
EE88242,mammary_epithel_cluster2438_hg38,0.28,-0.74
EE88242,hematopoietic_specific_liquorice_hg38,2.61,-2.89
EE88242,skeletal_muscle_cluster1518_hg38,0.46,0.24
EE88242,SAEC_hg38,-0.14,0.07
EE87945,prostate_cluster2483_hg38,0.76,-0.73
EE87945,hepatocyte_all_hg38,0.5,-0.04
EE87945,colon_cluster507_hg38,-1.2,-1.54
EE87945,A549_hg38,-0.72,-0.25
EE87945,panc_epithel_cluster1974_hg38,1.01,-1.43
EE87945,HPF_lung_fibroblast_cluster1737_hg38,0.17,0.31
EE87945,melano_SOX_clusters1863_2205_hg38,1.19,-1.41
EE87945,HeLa_cluster1777_hg38,1.58,-0.59
EE87945,panc_adenoca_cluster1261_hg38,0.02,0.7
EE87945,mammary_epithel_cluster2438_hg38,0.42,0.37
EE87945,hematopoietic_specific_liquorice_hg38,0.06,0.86
EE87945,skeletal_muscle_cluster1518_hg38,1.2,-1.16
EE87945,SAEC_hg38,0.36,-1.4
EE88295,prostate_cluster2483_hg38,-3.81,4.28
EE88295,hepatocyte_all_hg38,-11.05,9.77
EE88295,colon_cluster507_hg38,-1.05,0.44
EE88295,A549_hg38,-10,9.66
EE88295,panc_epithel_cluster1974_hg38,-1.45,-0.05
EE88295,HPF_lung_fibroblast_cluster1737_hg38,0.14,-0.75
EE88295,melano_SOX_clusters1863_2205_hg38,0.3,0.26
EE88295,HeLa_cluster1777_hg38,-3.41,1.91
EE88295,panc_adenoca_cluster1261_hg38,-0.26,-0.25
EE88295,mammary_epithel_cluster2438_hg38,0.04,-0.36
EE88295,hematopoietic_specific_liquorice_hg38,6.18,-4.8
EE88295,skeletal_muscle_cluster1518_hg38,1.15,-2.35
EE88295,SAEC_hg38,-0.8,2.23
EE88163,prostate_cluster2483_hg38,1.21,0.27
EE88163,hepatocyte_all_hg38,-0.19,-0.51
EE88163,colon_cluster507_hg38,2.19,-1.66
EE88163,A549_hg38,1.52,-0.89
EE88163,panc_epithel_cluster1974_hg38,1.06,-1.57
EE88163,HPF_lung_fibroblast_cluster1737_hg38,-0.64,-0.18
EE88163,melano_SOX_clusters1863_2205_hg38,0.1,0.5
EE88163,HeLa_cluster1777_hg38,1.32,-1.31
EE88163,panc_adenoca_cluster1261_hg38,0.14,0.73
EE88163,mammary_epithel_cluster2438_hg38,0.91,0.9
EE88163,hematopoietic_specific_liquorice_hg38,-0.29,0.1
EE88163,skeletal_muscle_cluster1518_hg38,-0.23,-0.87
EE88163,SAEC_hg38,-1.14,0.38
EE87796,prostate_cluster2483_hg38,-0.58,1.41
EE87796,hepatocyte_all_hg38,-1.06,0.73
EE87796,colon_cluster507_hg38,1.91,-1.15
EE87796,A549_hg38,-1.82,0
EE87796,panc_epithel_cluster1974_hg38,-4.03,0.58
EE87796,HPF_lung_fibroblast_cluster1737_hg38,0.39,0.35
EE87796,melano_SOX_clusters1863_2205_hg38,0.01,-3.61
EE87796,HeLa_cluster1777_hg38,0.9,-1.58
EE87796,panc_adenoca_cluster1261_hg38,-0.49,-0.31
EE87796,mammary_epithel_cluster2438_hg38,0.68,-1.57
EE87796,hematopoietic_specific_liquorice_hg38,0.59,0.2
EE87796,skeletal_muscle_cluster1518_hg38,-0.24,-1.93
EE87796,SAEC_hg38,0.46,-1.08
EE88224,prostate_cluster2483_hg38,-0.99,-0.53
EE88224,hepatocyte_all_hg38,-0.72,0.06
EE88224,colon_cluster507_hg38,-1.6,-0.3
EE88224,A549_hg38,-0.82,0.86
EE88224,panc_epithel_cluster1974_hg38,-1.29,0
EE88224,HPF_lung_fibroblast_cluster1737_hg38,1.3,0
EE88224,melano_SOX_clusters1863_2205_hg38,-0.72,-0.43
EE88224,HeLa_cluster1777_hg38,-0.32,1.13
EE88224,panc_adenoca_cluster1261_hg38,1.24,1.23
EE88224,mammary_epithel_cluster2438_hg38,0.04,0.26
EE88224,hematopoietic_specific_liquorice_hg38,0.29,-0.3
EE88224,skeletal_muscle_cluster1518_hg38,-0.45,0.63
EE88224,SAEC_hg38,0.09,0.06
EE87968,prostate_cluster2483_hg38,-0.57,-0.01
EE87968,hepatocyte_all_hg38,-0.75,0.93
EE87968,colon_cluster507_hg38,-0.62,1.01
EE87968,A549_hg38,-0.27,1
EE87968,panc_epithel_cluster1974_hg38,0.57,0.42
EE87968,HPF_lung_fibroblast_cluster1737_hg38,0.52,1.02
EE87968,melano_SOX_clusters1863_2205_hg38,-0.33,1.41
EE87968,HeLa_cluster1777_hg38,1.27,0.02
EE87968,panc_adenoca_cluster1261_hg38,1.36,-0.39
EE87968,mammary_epithel_cluster2438_hg38,-1.74,-0.64
EE87968,hematopoietic_specific_liquorice_hg38,-0.25,0.8
EE87968,skeletal_muscle_cluster1518_hg38,-0.47,0.69
EE87968,SAEC_hg38,0.01,-0.32
EE88065,prostate_cluster2483_hg38,-0.72,0.54
EE88065,hepatocyte_all_hg38,-0.84,1.6
EE88065,colon_cluster507_hg38,-0.26,0.06
EE88065,A549_hg38,1.58,0.14
