sample,region-set,Dip_area,Dip_depth
EE87793,panc_adenoca_cluster1261_hg38,1.97,-2.26
EE87793,mammary_epithel_cluster2438_hg38,0.08,-0.43
EE87793,hematopoietic_specific_liquorice_hg38,0.97,-0.23
EE87793,skeletal_muscle_cluster1518_hg38,-0.28,-1.64
EE87793,SAEC_hg38,-0.24,-0.38
EE87809,prostate_cluster2483_hg38,3.03,-2.59
EE87809,hepatocyte_all_hg38,-0.13,-0.86
EE87809,colon_cluster507_hg38,-0.79,-0.8
EE87809,A549_hg38,-1.32,-0.81
EE87809,panc_epithel_cluster1974_hg38,-0.15,-0.38
EE87809,HPF_lung_fibroblast_cluster1737_hg38,-1.03,-0.42
EE87809,melano_SOX_clusters1863_2205_hg38,-0.5,-1.68
EE87809,HeLa_cluster1777_hg38,-0.87,-2
EE87809,panc_adenoca_cluster1261_hg38,-0.57,0.48
EE87809,mammary_epithel_cluster2438_hg38,0.19,-1.22
EE87809,hematopoietic_specific_liquorice_hg38,1.12,-0.63
EE87809,skeletal_muscle_cluster1518_hg38,0.72,-2.16
EE87809,SAEC_hg38,0.15,-1.48
EE87847,prostate_cluster2483_hg38,-0.18,-0.11
EE87847,hepatocyte_all_hg38,-0.06,1.41
EE87847,colon_cluster507_hg38,0.26,-0.16
EE87847,A549_hg38,-0.55,-0.53
EE87847,panc_epithel_cluster1974_hg38,0.8,-1.27
EE87847,HPF_lung_fibroblast_cluster1737_hg38,-0.61,-0.03
EE87847,melano_SOX_clusters1863_2205_hg38,-0.21,-2.27
EE87847,HeLa_cluster1777_hg38,0.23,-1.67
EE87847,panc_adenoca_cluster1261_hg38,-0.78,0.99
EE87847,mammary_epithel_cluster2438_hg38,-1.52,0.13
EE87847,hematopoietic_specific_liquorice_hg38,0.92,-4.08
EE87847,skeletal_muscle_cluster1518_hg38,-0.64,-1
EE87847,SAEC_hg38,0.91,-1.74
EE88259,prostate_cluster2483_hg38,-0.84,0.03
EE88259,hepatocyte_all_hg38,0.57,-0.49
EE88259,colon_cluster507_hg38,3.14,-1.95
EE88259,A549_hg38,-0.16,-1.65
EE88259,panc_epithel_cluster1974_hg38,-1.82,-1.97
EE88259,HPF_lung_fibroblast_cluster1737_hg38,0.64,-3.32
EE88259,melano_SOX_clusters1863_2205_hg38,-0.8,-1.85
EE88259,HeLa_cluster1777_hg38,0.6,-3.05
EE88259,panc_adenoca_cluster1261_hg38,0.77,1.09
EE88259,mammary_epithel_cluster2438_hg38,0.84,-0.39
EE88259,hematopoietic_specific_liquorice_hg38,-0.55,1.07
EE88259,skeletal_muscle_cluster1518_hg38,1.91,-1.85
EE88259,SAEC_hg38,-0.15,1.86
EE88076,prostate_cluster2483_hg38,0.06,-0.7
EE88076,hepatocyte_all_hg38,-0.21,-1.32
EE88076,colon_cluster507_hg38,-0.91,0.71
EE88076,A549_hg38,0.56,-0.47
EE88076,panc_epithel_cluster1974_hg38,-0.06,-0.09
EE88076,HPF_lung_fibroblast_cluster1737_hg38,0.72,-0.85
EE88076,melano_SOX_clusters1863_2205_hg38,-0.04,-0.04
EE88076,HeLa_cluster1777_hg38,-0.16,0.51
EE88076,panc_adenoca_cluster1261_hg38,0.63,-0.69
EE88076,mammary_epithel_cluster2438_hg38,-0.48,0.43
EE88076,hematopoietic_specific_liquorice_hg38,0.27,-1.5
EE88076,skeletal_muscle_cluster1518_hg38,0.23,-0.33
EE88076,SAEC_hg38,0.07,1
EE88243,prostate_cluster2483_hg38,2.12,-1.13
EE88243,hepatocyte_all_hg38,-0.78,-0.08
EE88243,colon_cluster507_hg38,1.05,-1.46
EE88243,A549_hg38,-1.01,-1.54
EE88243,panc_epithel_cluster1974_hg38,0.11,0.66
EE88243,HPF_lung_fibroblast_cluster1737_hg38,0.29,-0.78
EE88243,melano_SOX_clusters1863_2205_hg38,-0.18,-0.65
EE88243,HeLa_cluster1777_hg38,1.9,-0.6
EE88243,panc_adenoca_cluster1261_hg38,0.71,-0.05
EE88243,mammary_epithel_cluster2438_hg38,1.64,-2.04
EE88243,hematopoietic_specific_liquorice_hg38,0.97,-0.31
EE88243,skeletal_muscle_cluster1518_hg38,-1.27,1.29
EE88243,SAEC_hg38,0.68,0.45
EE88205,prostate_cluster2483_hg38,0.45,-0.58
EE88205,hepatocyte_all_hg38,-0.52,1.5
EE88205,colon_cluster507_hg38,1.24,-1.14
EE88205,A549_hg38,-1.77,0.25
EE88205,panc_epithel_cluster1974_hg38,1.68,1.17
EE88205,HPF_lung_fibroblast_cluster1737_hg38,-1.47,1.28
EE88205,melano_SOX_clusters1863_2205_hg38,-0.27,0.66
EE88205,HeLa_cluster1777_hg38,-0.93,-2.61
EE88205,panc_adenoca_cluster1261_hg38,0.61,-0.87
EE88205,mammary_epithel_cluster2438_hg38,0.9,-1.69
EE88205,hematopoietic_specific_liquorice_hg38,0.8,0.36
EE88205,skeletal_muscle_cluster1518_hg38,-0.46,-0.61
EE88205,SAEC_hg38,-1.83,0.05
EE88127,prostate_cluster2483_hg38,-0.09,-1.39
EE88127,hepatocyte_all_hg38,0.27,-0.08
EE88127,colon_cluster507_hg38,0.31,-0.88
EE88127,A549_hg38,-1.38,2.16
EE88127,panc_epithel_cluster1974_hg38,-0.15,-0.19
EE88127,HPF_lung_fibroblast_cluster1737_hg38,0.59,-0.26
EE88127,melano_SOX_clusters1863_2205_hg38,1.19,-1.87
EE88127,HeLa_cluster1777_hg38,1.24,-0.02
EE88127,panc_adenoca_cluster1261_hg38,-0.26,0.91
EE88127,mammary_epithel_cluster2438_hg38,-2.06,-1.14
EE88127,hematopoietic_specific_liquorice_hg38,0.72,0.81
EE88127,skeletal_muscle_cluster1518_hg38,0.77,-1.39
EE88127,SAEC_hg38,-0.22,0.51
EE88080,prostate_cluster2483_hg38,-0.28,-0.35
EE88080,hepatocyte_all_hg38,-0.51,-0.28
EE88080,colon_cluster507_hg38,0.05,0.92
EE88080,A549_hg38,1.16,-0.48
EE88080,panc_epithel_cluster1974_hg38,1.51,-0.93
EE88080,HPF_lung_fibroblast_cluster1737_hg38,0.41,0.14
EE88080,melano_SOX_clusters1863_2205_hg38,-0.66,0.38
EE88080,HeLa_cluster1777_hg38,-0.59,-0.85
EE88080,panc_adenoca_cluster1261_hg38,-0.25,1.67
EE88080,mammary_epithel_cluster2438_hg38,-0.24,1.08
EE88080,hematopoietic_specific_liquorice_hg38,1.24,0.81
EE88080,skeletal_muscle_cluster1518_hg38,2.26,1.09
EE88080,SAEC_hg38,-0.29,1.38
EE87826,prostate_cluster2483_hg38,-1.65,-0.25
EE87826,hepatocyte_all_hg38,1.06,-0.1
EE87826,colon_cluster507_hg38,1.07,0.01
EE87826,A549_hg38,-0.11,-1.42
EE87826,panc_epithel_cluster1974_hg38,0.3,-2.63
EE87826,HPF_lung_fibroblast_cluster1737_hg38,-0.66,0
EE87826,melano_SOX_clusters1863_2205_hg38,2.55,-0.49
EE87826,HeLa_cluster1777_hg38,-1.28,-0.37
EE87826,panc_adenoca_cluster1261_hg38,0.24,0.73
EE87826,mammary_epithel_cluster2438_hg38,0.02,1
EE87826,hematopoietic_specific_liquorice_hg38,-0.39,-0.23
EE87826,skeletal_muscle_cluster1518_hg38,1.13,1.34
EE87826,SAEC_hg38,-0.11,-1.94
EE88263,prostate_cluster2483_hg38,-1.67,1.56
EE88263,hepatocyte_all_hg38,-3.07,1.66
EE88263,colon_cluster507_hg38,0.42,0.84
EE88263,A549_hg38,-3.67,3.14
EE88263,panc_epithel_cluster1974_hg38,-3.64,1.13
EE88263,HPF_lung_fibroblast_cluster1737_hg38,0.53,-0.45
EE88263,melano_SOX_clusters1863_2205_hg38,0.16,-1.51
EE88263,HeLa_cluster1777_hg38,-1.16,-0.4
EE88263,panc_adenoca_cluster1261_hg38,0.78,0.1
EE88263,mammary_epithel_cluster2438_hg38,0.69,-0.32
EE88263,hematopoietic_specific_liquorice_hg38,3.32,-2.8
EE88263,skeletal_muscle_cluster1518_hg38,0.96,-0.31
EE88263,SAEC_hg38,-2.72,1.84
EE88132,prostate_cluster2483_hg38,0.07,-0.25
EE88132,hepatocyte_all_hg38,0.58,-1.7
EE88132,colon_cluster507_hg38,0.58,-2.33
EE88132,A549_hg38,-0.79,0.09
EE88132,panc_epithel_cluster1974_hg38,0.52,-0.15
EE88132,HPF_lung_fibroblast_cluster1737_hg38,0.61,-0.72
EE88132,melano_SOX_clusters1863_2205_hg38,3.28,-0.15
EE88132,HeLa_cluster1777_hg38,-0.21,-0.43
EE88132,panc_adenoca_cluster1261_hg38,1.05,0.46
EE88132,mammary_epithel_cluster2438_hg38,0.2,-1.51
EE88132,hematopoietic_specific_liquorice_hg38,-1.34,0.37
EE88132,skeletal_muscle_cluster1518_hg38,0.36,-0.31
EE88132,SAEC_hg38,0.87,-1.58
EE87850,prostate_cluster2483_hg38,0.49,-1.13
EE87850,hepatocyte_all_hg38,0.11,-0.06
EE87850,colon_cluster507_hg38,0.13,-0.36
EE87850,A549_hg38,0.35,0.85
EE87850,panc_epithel_cluster1974_hg38,-1.19,1.29
EE87850,HPF_lung_fibroblast_cluster1737_hg38,0.83,0.79
EE87850,melano_SOX_clusters1863_2205_hg38,-0.41,-0.16
EE87850,HeLa_cluster1777_hg38,-0.05,0.43
EE87850,panc_adenoca_cluster1261_hg38,0.71,0.22
EE87850,mammary_epithel_cluster2438_hg38,-0.08,1.4
EE87850,hematopoietic_specific_liquorice_hg38,-0.05,1.06
EE87850,skeletal_muscle_cluster1518_hg38,-1.16,-1.59
EE87850,SAEC_hg38,0.52,-1.13
EE88019,prostate_cluster2483_hg38,0.04,0.74
EE88019,hepatocyte_all_hg38,1.04,-0.04
EE88019,colon_cluster507_hg38,-1.68,1.55
EE88019,A549_hg38,-1.26,2.2
EE88019,panc_epithel_cluster1974_hg38,-0.89,-0.57
EE88019,HPF_lung_fibroblast_cluster1737_hg38,-1.49,0.51
EE88019,melano_SOX_clusters1863_2205_hg38,0.11,-0.1
EE88019,HeLa_cluster1777_hg38,-0.97,-0.02
EE88019,panc_adenoca_cluster1261_hg38,-0.27,0.01
EE88019,mammary_epithel_cluster2438_hg38,1.31,-0.15
EE88019,hematopoietic_specific_liquorice_hg38,0.12,0.71
EE88019,skeletal_muscle_cluster1518_hg38,-1.83,0.69
EE88019,SAEC_hg38,2.45,1.48
EE87938,prostate_cluster2483_hg38,1.52,-2.04
EE87938,hepatocyte_all_hg38,0.76,-0.35
EE87938,colon_cluster507_hg38,0.08,0.5
EE87938,A549_hg38,1.1,-0.28
EE87938,panc_epithel_cluster1974_hg38,0.78,-1.62
EE87938,HPF_lung_fibroblast_cluster1737_hg38,1.17,-1.44
EE87938,melano_SOX_clusters1863_2205_hg38,-0.31,-0.62
EE87938,HeLa_cluster1777_hg38,0.8,-1.15
EE87938,panc_adenoca_cluster1261_hg38,0.44,0.02
EE87938,mammary_epithel_cluster2438_hg38,-0.19,-0.21
EE87938,hematopoietic_specific_liquorice_hg38,-2.26,1.27
EE87938,skeletal_muscle_cluster1518_hg38,1.81,0.05
EE87938,SAEC_hg38,0.11,-0.26
EE87804,prostate_cluster2483_hg38,0.77,-0.98
EE87804,hepatocyte_all_hg38,-1.5,-0.32
EE87804,colon_cluster507_hg38,-0.89,-0.15
EE87804,A549_hg38,-0.81,2.01
EE87804,panc_epithel_cluster1974_hg38,-1.27,0.49
EE87804,HPF_lung_fibroblast_cluster1737_hg38,1.45,0.99
EE87804,melano_SOX_clusters1863_2205_hg38,1.01,-0.67
EE87804,HeLa_cluster1777_hg38,-0.25,0.03
EE87804,panc_adenoca_cluster1261_hg38,0.25,-2.86
EE87804,mammary_epithel_cluster2438_hg38,1.25,-0.45
EE87804,hematopoietic_specific_liquorice_hg38,-0.6,0.77
EE87804,skeletal_muscle_cluster1518_hg38,0.66,-1.65
EE87804,SAEC_hg38,0.52,-0.86
EE88237,prostate_cluster2483_hg38,-0.02,-0.52
EE88237,hepatocyte_all_hg38,-0.64,-0.16
EE88237,colon_cluster507_hg38,2.15,-0.94
EE88237,A549_hg38,0.93,-0.82
EE88237,panc_epithel_cluster1974_hg38,0.39,0.48
EE88237,HPF_lung_fibroblast_cluster1737_hg38,-0.16,-0.83
EE88237,melano_SOX_clusters1863_2205_hg38,-0.37,-0.35
EE88237,HeLa_cluster1777_hg38,0.43,-0.48
EE88237,panc_adenoca_cluster1261_hg38,-0.14,-1.25
EE88237,mammary_epithel_cluster2438_hg38,-0.96,-0.78
EE88237,hematopoietic_specific_liquorice_hg38,2.46,-0.89
EE88237,skeletal_muscle_cluster1518_hg38,-0.1,0.67
EE88237,SAEC_hg38,-2.38,2.03
EE88302,prostate_cluster2483_hg38,-0.09,-1.65
EE88302,hepatocyte_all_hg38,2.09,-2.03
EE88302,colon_cluster507_hg38,-1.15,0.32
EE88302,A549_hg38,-0.9,-1.8
EE88302,panc_epithel_cluster1974_hg38,1.9,-3.87
EE88302,HPF_lung_fibroblast_cluster1737_hg38,0.89,-2.63
EE88302,melano_SOX_clusters1863_2205_hg38,0.99,-2.29
EE88302,HeLa_cluster1777_hg38,0.69,-3.83
EE88302,panc_adenoca_cluster1261_hg38,2.08,-1.23
EE88302,mammary_epithel_cluster2438_hg38,-0.21,-2.87
EE88302,hematopoietic_specific_liquorice_hg38,-1.15,0.68
EE88302,skeletal_muscle_cluster1518_hg38,1.51,-0.34
EE88302,SAEC_hg38,-0.78,-0.46
EE87837,prostate_cluster2483_hg38,0.93,0.2
EE87837,hepatocyte_all_hg38,0.77,-0.79
EE87837,colon_cluster507_hg38,-0.19,-0.83
EE87837,A549_hg38,-0.67,1.1
EE87837,panc_epithel_cluster1974_hg38,0.84,0.5
EE87837,HPF_lung_fibroblast_cluster1737_hg38,1.75,0.62
EE87837,melano_SOX_clusters1863_2205_hg38,-0.97,-0.01
EE87837,HeLa_cluster1777_hg38,2.19,0.48
EE87837,panc_adenoca_cluster1261_hg38,0.08,-0.23
EE87837,mammary_epithel_cluster2438_hg38,0.45,-0.48
EE87837,hematopoietic_specific_liquorice_hg38,-0.3,0.62
EE87837,skeletal_muscle_cluster1518_hg38,1.26,-2.64
EE87837,SAEC_hg38,-0.27,-0.85
EE87805,prostate_cluster2483_hg38,1.03,-2.75
EE87805,hepatocyte_all_hg38,-2.43,0.32
EE87805,colon_cluster507_hg38,-0.95,-0.48
EE87805,A549_hg38,-2.22,1.31
EE87805,panc_epithel_cluster1974_hg38,0.16,-2.26
EE87805,HPF_lung_fibroblast_cluster1737_hg38,0.25,-2.13
EE87805,melano_SOX_clusters1863_2205_hg38,1.12,-2.85
EE87805,HeLa_cluster1777_hg38,0.44,-1.83
EE87805,panc_adenoca_cluster1261_hg38,0.61,-1.78
EE87805,mammary_epithel_cluster2438_hg38,-0.23,-1.33
EE87805,hematopoietic_specific_liquorice_hg38,-1.2,0.46
EE87805,skeletal_muscle_cluster1518_hg38,0.95,-2.02
EE87805,SAEC_hg38,0,-1.57
EE88162,prostate_cluster2483_hg38,-2.91,0.08
EE88162,hepatocyte_all_hg38,-0.06,0.59
EE88162,colon_cluster507_hg38,-0.16,0.62
EE88162,A549_hg38,1.9,-0.19
EE88162,panc_epithel_cluster1974_hg38,-0.33,0.98
EE88162,HPF_lung_fibroblast_cluster1737_hg38,0.67,-0.96
EE88162,melano_SOX_clusters1863_2205_hg38,-0.8,0.28
EE88162,HeLa_cluster1777_hg38,-1.17,0.12
EE88162,panc_adenoca_cluster1261_hg38,-1.47,-1.73
EE88162,mammary_epithel_cluster2438_hg38,-0.76,-1.55
EE88162,hematopoietic_specific_liquorice_hg38,-0.08,0.62
EE88162,skeletal_muscle_cluster1518_hg38,-0.43,0.86
EE88162,SAEC_hg38,1.54,0.03
EE87788,prostate_cluster2483_hg38,-1.71,-0.07
EE87788,hepatocyte_all_hg38,0.14,-0.86
EE87788,colon_cluster507_hg38,0.54,-2.14
EE87788,A549_hg38,-0.52,0.51
EE87788,panc_epithel_cluster1974_hg38,-1.6,-1.26
EE87788,HPF_lung_fibroblast_cluster1737_hg38,-1.25,-1.72
EE87788,melano_SOX_clusters1863_2205_hg38,0.27,-0.53
EE87788,HeLa_cluster1777_hg38,-0.01,0.51
EE87788,panc_adenoca_cluster1261_hg38,0.44,-0.03
EE87788,mammary_epithel_cluster2438_hg38,-0.45,-0.07
EE87788,hematopoietic_specific_liquorice_hg38,0.98,0.09
EE87788,skeletal_muscle_cluster1518_hg38,0.82,-1.62
EE87788,SAEC_hg38,-0.24,1.17
EE88000,prostate_cluster2483_hg38,-0.09,0.62
EE88000,hepatocyte_all_hg38,2.87,-0.58
EE88000,colon_cluster507_hg38,-1.15,0.82
EE88000,A549_hg38,-0.14,-0.07
EE88000,panc_epithel_cluster1974_hg38,0.47,0.47
EE88000,HPF_lung_fibroblast_cluster1737_hg38,-0.28,0.78
EE88000,melano_SOX_clusters1863_2205_hg38,0.98,-1.07
EE88000,HeLa_cluster1777_hg38,0.97,-0.45
EE88000,panc_adenoca_cluster1261_hg38,2.32,0.87
EE88000,mammary_epithel_cluster2438_hg38,0.37,0.35
EE88000,hematopoietic_specific_liquorice_hg38,-2.55,1.66
EE88000,skeletal_muscle_cluster1518_hg38,-0.31,-0.59
EE88000,SAEC_hg38,0.62,-0.81
EE88035,prostate_cluster2483_hg38,-1.52,0.65
EE88035,hepatocyte_all_hg38,-0.18,0.28
EE88035,colon_cluster507_hg38,1.08,1.03
EE88035,A549_hg38,1.21,0.38
EE88035,panc_epithel_cluster1974_hg38,-0.23,0.82
EE88035,HPF_lung_fibroblast_cluster1737_hg38,-1.9,1.18
EE88035,melano_SOX_clusters1863_2205_hg38,-2.02,1.3
EE88035,HeLa_cluster1777_hg38,-1.12,2.03
EE88035,panc_adenoca_cluster1261_hg38,-0.95,-1.1
EE88035,mammary_epithel_cluster2438_hg38,-0.65,1.63
EE88035,hematopoietic_specific_liquorice_hg38,1.21,-0.71
EE88035,skeletal_muscle_cluster1518_hg38,-0.31,0.63
EE88035,SAEC_hg38,0.51,2.24
EE88134,prostate_cluster2483_hg38,-1.74,-0.23
EE88134,hepatocyte_all_hg38,-0.8,-0.04
EE88134,colon_cluster507_hg38,-1.27,0.16
EE88134,A549_hg38,-0.49,-0.33
EE88134,panc_epithel_cluster1974_hg38,0.75,0.73
EE88134,HPF_lung_fibroblast_cluster1737_hg38,-0.24,0.45
EE88134,melano_SOX_clusters1863_2205_hg38,2.04,0.86
EE88134,HeLa_cluster1777_hg38,-0.54,-0.11
EE88134,panc_adenoca_cluster1261_hg38,0.36,1.22
EE88134,mammary_epithel_cluster2438_hg38,0.58,-0.24
EE88134,hematopoietic_specific_liquorice_hg38,-0.64,-1.24
EE88134,skeletal_muscle_cluster1518_hg38,-1.68,-0.38
EE88134,SAEC_hg38,0.71,-1.55
EE88109,prostate_cluster2483_hg38,-1,0.07
EE88109,hepatocyte_all_hg38,-0.03,0.61
EE88109,colon_cluster507_hg38,-0.48,0.07
EE88109,A549_hg38,0.48,0.28
EE88109,panc_epithel_cluster1974_hg38,-2.5,0.78
EE88109,HPF_lung_fibroblast_cluster1737_hg38,-1.7,-0.21
EE88109,melano_SOX_clusters1863_2205_hg38,0.66,-0.01
EE88109,HeLa_cluster1777_hg38,-0.74,1.35
EE88109,panc_adenoca_cluster1261_hg38,0.26,-0.56
EE88109,mammary_epithel_cluster2438_hg38,-0.58,-0.36
EE88109,hematopoietic_specific_liquorice_hg38,0.78,-1.45
EE88109,skeletal_muscle_cluster1518_hg38,-0.64,-1.78
EE88109,SAEC_hg38,0.98,-1.37
EE87920,prostate_cluster2483_hg38,-0.24,-0.11
EE87920,hepatocyte_all_hg38,0.95,0.21
EE87920,colon_cluster507_hg38,2.61,0.52
EE87920,A549_hg38,0.38,0.09
EE87920,panc_epithel_cluster1974_hg38,1.36,-0.02
EE87920,HPF_lung_fibroblast_cluster1737_hg38,-1.05,1.58
EE87920,melano_SOX_clusters1863_2205_hg38,-0.04,1.39
EE87920,HeLa_cluster1777_hg38,0.6,0.95
EE87920,panc_adenoca_cluster1261_hg38,-2.09,1.33
EE87920,mammary_epithel_cluster2438_hg38,-0.65,1.22
EE87920,hematopoietic_specific_liquorice_hg38,3.24,-1.35
EE87920,skeletal_muscle_cluster1518_hg38,-1.18,0.91
EE87920,SAEC_hg38,-2.12,2.64
EE88112,prostate_cluster2483_hg38,-0.03,1.42
EE88112,hepatocyte_all_hg38,-1.87,0.36
EE88112,colon_cluster507_hg38,0.54,-0.78
EE88112,A549_hg38,0,-1.13
EE88112,panc_epithel_cluster1974_hg38,-0.57,0.81
EE88112,HPF_lung_fibroblast_cluster1737_hg38,-0.31,0.51
EE88112,melano_SOX_clusters1863_2205_hg38,-1.06,-0.52
EE88112,HeLa_cluster1777_hg38,-2.64,0.43
EE88112,panc_adenoca_cluster1261_hg38,-1.89,1.54
EE88112,mammary_epithel_cluster2438_hg38,0.63,-0.09
EE88112,hematopoietic_specific_liquorice_hg38,0.52,-0.74
EE88112,skeletal_muscle_cluster1518_hg38,-0.74,-0.49
EE88112,SAEC_hg38,-2.02,1.18
EE87849,prostate_cluster2483_hg38,-0.94,0.42
EE87849,hepatocyte_all_hg38,0.14,-0.84
EE87849,colon_cluster507_hg38,0.06,1.64
EE87849,A549_hg38,0.28,0.05
EE87849,panc_epithel_cluster1974_hg38,-0.81,0.56
EE87849,HPF_lung_fibroblast_cluster1737_hg38,1.81,0.06
EE87849,melano_SOX_clusters1863_2205_hg38,-0.01,-0.47
EE87849,HeLa_cluster1777_hg38,0.76,-0.71
EE87849,panc_adenoca_cluster1261_hg38,-1.72,0.16
EE87849,mammary_epithel_cluster2438_hg38,0.73,-1.7
EE87849,hematopoietic_specific_liquorice_hg38,0.85,1.19
EE87849,skeletal_muscle_cluster1518_hg38,-0.07,-0.63
EE87849,SAEC_hg38,-0.81,-0.07
EE88235,prostate_cluster2483_hg38,0.68,-0.03
EE88235,hepatocyte_all_hg38,0.55,-0.6
EE88235,colon_cluster507_hg38,0.36,-1
EE88235,A549_hg38,-1.89,-1.45
EE88235,panc_epithel_cluster1974_hg38,-0.48,0.36
EE88235,HPF_lung_fibroblast_cluster1737_hg38,-2.58,-0.82
EE88235,melano_SOX_clusters1863_2205_hg38,-0.7,-2.14
EE88235,HeLa_cluster1777_hg38,-1.03,-0.1
EE88235,panc_adenoca_cluster1261_hg38,-1.84,0.91
EE88235,mammary_epithel_cluster2438_hg38,-0.73,-0.4
EE88235,hematopoietic_specific_liquorice_hg38,0.55,-0.84
EE88235,skeletal_muscle_cluster1518_hg38,2.12,-0.81
EE88235,SAEC_hg38,2.09,0.14
EE87825,prostate_cluster2483_hg38,0.48,-0.02
EE87825,hepatocyte_all_hg38,-0.27,-0.6
EE87825,colon_cluster507_hg38,0.51,-1.47
EE87825,A549_hg38,-0.12,0.33
EE87825,panc_epithel_cluster1974_hg38,-0.26,-1.18
EE87825,HPF_lung_fibroblast_cluster1737_hg38,0.41,-0.24
EE87825,melano_SOX_clusters1863_2205_hg38,0.05,0.66
EE87825,HeLa_cluster1777_hg38,0.91,0.16
EE87825,panc_adenoca_cluster1261_hg38,0.2,0.5
EE87825,mammary_epithel_cluster2438_hg38,0.59,-1.11
EE87825,hematopoietic_specific_liquorice_hg38,0.25,0.59
EE87825,skeletal_muscle_cluster1518_hg38,-0.21,0.39
EE87825,SAEC_hg38,1.48,-0.6
EE88009,prostate_cluster2483_hg38,-2.17,0.77
EE88009,hepatocyte_all_hg38,0.66,-0.54
EE88009,colon_cluster507_hg38,0.4,-0.2
EE88009,A549_hg38,0.41,0.16
EE88009,panc_epithel_cluster1974_hg38,1.44,-0.17
EE88009,HPF_lung_fibroblast_cluster1737_hg38,1.25,-0.97
EE88009,melano_SOX_clusters1863_2205_hg38,2.4,0.55
EE88009,HeLa_cluster1777_hg38,1.45,-0.92
EE88009,panc_adenoca_cluster1261_hg38,0.82,0.42
EE88009,mammary_epithel_cluster2438_hg38,1.42,-1.22
EE88009,hematopoietic_specific_liquorice_hg38,1.91,-1.04
EE88009,skeletal_muscle_cluster1518_hg38,1.08,-1.01
EE88009,SAEC_hg38,1.99,-1.1
EE88131,prostate_cluster2483_hg38,0.74,0.01
EE88131,hepatocyte_all_hg38,-0.15,0
EE88131,colon_cluster507_hg38,0.9,-0.6
EE88131,A549_hg38,-0.89,0.4
EE88131,panc_epithel_cluster1974_hg38,-0.54,-1.43
EE88131,HPF_lung_fibroblast_cluster1737_hg38,0.51,-1.16
EE88131,melano_SOX_clusters1863_2205_hg38,0.21,-0.5
EE88131,HeLa_cluster1777_hg38,0.45,0.68
EE88131,panc_adenoca_cluster1261_hg38,-1.08,-0.28
EE88131,mammary_epithel_cluster2438_hg38,0.63,-0.33
EE88131,hematopoietic_specific_liquorice_hg38,0.35,-0.37
EE88131,skeletal_muscle_cluster1518_hg38,-0.59,-0.27
EE88131,SAEC_hg38,-0.68,-0.09
EE87952,prostate_cluster2483_hg38,-0.17,-0.28
EE87952,hepatocyte_all_hg38,0.49,0.45
EE87952,colon_cluster507_hg38,-0.23,-0.59
EE87952,A549_hg38,0.65,-0.01
EE87952,panc_epithel_cluster1974_hg38,0.63,0.43
EE87952,HPF_lung_fibroblast_cluster1737_hg38,-0.5,-0.3
EE87952,melano_SOX_clusters1863_2205_hg38,-0.41,-1.3
EE87952,HeLa_cluster1777_hg38,0.15,-1.94
EE87952,panc_adenoca_cluster1261_hg38,0.72,-0.92
EE87952,mammary_epithel_cluster2438_hg38,1,-2.18
EE87952,hematopoietic_specific_liquorice_hg38,0.28,-0.12
EE87952,skeletal_muscle_cluster1518_hg38,-0.15,-0.98
EE87952,SAEC_hg38,-0.41,0.06
EE88087,prostate_cluster2483_hg38,0.09,-0.24
EE88087,hepatocyte_all_hg38,-0.18,-0.94
EE88087,colon_cluster507_hg38,0.34,-0.01
EE88087,A549_hg38,-0.62,-0.25
EE88087,panc_epithel_cluster1974_hg38,-0.3,-0.36
EE88087,HPF_lung_fibroblast_cluster1737_hg38,0.66,-0.86
EE88087,melano_SOX_clusters1863_2205_hg38,0.48,-0.38
EE88087,HeLa_cluster1777_hg38,-0.27,-1.36
EE88087,panc_adenoca_cluster1261_hg38,-0.29,-0.07
EE88087,mammary_epithel_cluster2438_hg38,0.05,-0.33
EE88087,hematopoietic_specific_liquorice_hg38,-0.66,0.36
EE88087,skeletal_muscle_cluster1518_hg38,-0.39,0.45
EE88087,SAEC_hg38,-0.33,0.21
EE88181,prostate_cluster2483_hg38,-1.52,0.73
EE88181,hepatocyte_all_hg38,-2.32,1.79
EE88181,colon_cluster507_hg38,-0.05,0.57
EE88181,A549_hg38,-2.38,1.42
EE88181,panc_epithel_cluster1974_hg38,-0.97,0.61
EE88181,HPF_lung_fibroblast_cluster1737_hg38,-0.06,-0.64
EE88181,melano_SOX_clusters1863_2205_hg38,-1.19,0.77
EE88181,HeLa_cluster1777_hg38,-1.26,0.66
EE88181,panc_adenoca_cluster1261_hg38,0.64,-1.82
EE88181,mammary_epithel_cluster2438_hg38,-0.67,-0.49
EE88181,hematopoietic_specific_liquorice_hg38,2.18,-1.6
EE88181,skeletal_muscle_cluster1518_hg38,0.64,-0.57
EE88181,SAEC_hg38,0.51,-0.65
EE88104,prostate_cluster2483_hg38,1.1,0.7
EE88104,hepatocyte_all_hg38,-1.39,1.66
EE88104,colon_cluster507_hg38,-1.32,0.24
EE88104,A549_hg38,0.94,-0.07
EE88104,panc_epithel_cluster1974_hg38,-4.04,1.2
EE88104,HPF_lung_fibroblast_cluster1737_hg38,0.12,-0.03
EE88104,melano_SOX_clusters1863_2205_hg38,-1.94,0.33
EE88104,HeLa_cluster1777_hg38,-0.12,-0.02
EE88104,panc_adenoca_cluster1261_hg38,2.8,0.63
EE88104,mammary_epithel_cluster2438_hg38,-3.26,1.09
