length,EE87811,EE87812,EE87813,EE87815,EE87816,EE87817,EE87818,EE87819,EE87820,EE87821,EE87822,EE87823,EE87824,EE87825,EE87826,EE87827,EE87828,EE87829,EE87830,EE87831,EE87832,EE87833,EE87834,EE87835,EE87836,EE87837,EE87838,EE87839,EE87840,EE87841,EE87842,EE87843,EE87844,EE87845,EE87846,EE87847,EE87848,EE87849,EE87850,EE87851,EE87852,EE87853,EE87854,EE87855,EE87856,EE87857,EE87858,EE87859,EE87860,EE87861,EE87862,EE87863,EE87864
114,39212,21204,20004,44433,60875,53526,45977,115857,45180,76001,51904,54450,56882,73237,30521,41012,42137,34825,27665,39283,57162,29933,38923,14731,12776,102512,42550,35312,41192,90373,36152,27096,15455,39153,23877,16923,39876,45692,25028,48804,59723,31775,22203,7426,27869,23500,10863,18485,15059,11859,44949,50017,26218
115,39902,21634,20118,44030,59748,53544,46429,113213,44714,77995,52816,54261,56488,73258,30581,40372,41555,35878,28642,39823,58035,31236,38893,15363,13139,104047,42371,35502,42241,92105,37285,27150,16278,39439,23976,17943,40701,47058,25691,49665,61092,31849,22979,7611,28801,24050,11169,19228,15443,12489,45561,52035,27376
116,42876,23052,21550,46994,63551,57960,48997,118538,47535,86381,56837,58364,59666,78282,32703,42845,44333,38823,31296,43538,62712,33403,41403,16438,14329,112029,45989,37800,46020,99255,39782,30047,17674,43397,26116,19412,44967,50774,27396,54240,65843,34956,24549,8391,31422,25946,11942,21554,16774,13247,50009,57378,29927
117,47540,25613,24106,51431,68800,63694,53165,126739,52351,94801,62073,64231,64731,86412,35741,47200,48904,42975,35483,48321,68819,36441,45704,18648,15573,120355,49271,41377,51840,107880,44687,32681,19994,47887,29043,21902,49858,56205,30285,60377,73385,39231,27452,9162,35223,28980,13234,23487,18707,15035,55646,62594,32828
118,53248,28819,26818,58099,75835,69607,57935,133561,57743,102643,67640,69956,71767,95298,40042,52876,55062,49136,39876,54677,73329,39839,49848,20365,17399,126868,54575,46465,58036,115529,50228,36916,22639,53938,32776,24942,56469,62993,34531,67841,82153,44304,30700,10267,38794,32801,15241,25843,20169,17099,62657,67686,36147
119,61265,33133,31437,69367,86788,78841,65052,145832,64818,110629,75566,76330,83324,109269,46561,62548,63770,57666,46440,63487,79251,43619,55963,23031,19750,134218,62885,52890,67117,126216,58491,42945,26189,62305,38267,28469,65544,73396,39925,80360,95438,52070,35439,12217,44934,38406,17588,28737,22716,20404,69886,74201,40967
120,75663,40921,39026,87411,106126,98828,77291,174546,78055,126990,89194,89182,104872,133849,56950,77901,78287,72627,56131,78669,90426,50942,67597,26386,23579,154338,77877,65763,82243,147650,72176,52001,32153,76822,47378,33890,81501,89407,49790,102432,118847,65700,43209,14655,53841,46948,20931,33816,26298,24716,83422,85304,49318
121,96266,52712,52133,114412,135326,129758,97355,221247,98443,153614,110829,111079,135854,170238,74026,99609,100633,97230,71459,100689,110659,62647,86244,32311,29917,187734,100004,85644,106675,186208,92189,66549,41427,99767,61236,42792,107395,113929,64190,136146,154730,86472,56173,19227,68495,59744,26343,42068,31108,32237,105147,104152,63488
122,113006,62788,62198,135025,157241,152965,111670,254611,113764,173121,127110,126372,158749,198556,87483,117425,116303,116183,84014,117723,125042,72060,100788,37039,34297,214693,116683,100209,125197,214795,107715,78296,49433,118525,73573,50574,128844,133368,76604,162419,182874,103668,66737,23044,80440,70448,30080,48216,35610,38542,123986,121026,74535
123,110499,61821,61777,132258,151201,149346,108850,243494,110974,170902,124062,123129,151979,191803,85260,113879,112992,116103,83209,114653,123596,71073,98098,37634,34837,209915,113519,97044,123158,207382,106957,77334,49517,118893,72917,50030,127468,131880,76643,159675,181339,102749,66287,23761,80751,70176,31158,49406,36682,39749,123947,123264,74082
124,89893,50630,50211,102944,120142,118541,88424,199104,89138,148363,103186,100944,117542,154680,67207,88757,89504,94250,68220,93182,104231,59670,78959,33080,30073,180410,90344,77189,99422,169552,88095,63334,41927,97438,59832,43988,105041,107338,62769,127516,148219,82771,54379,21248,68340,58353,28171,45507,33540,34448,105072,111093,61953
125,75263,40910,40315,81619,96875,97616,72976,172457,73657,134870,89102,84402,92211,129224,53899,69548,73312,77538,57688,77006,91585,51653,64214,30543,27127,164820,73618,63427,82930,144525,74515,52275,36575,81501,49371,38927,89618,89903,52499,103460,124494,66897,45100,18589,60768,49332,25853,43108,31944,29993,92638,106521,53663
126,73789,38896,38886,75949,92661,95192,70619,173412,70886,139320,88982,81500,85423,125066,50665,64029,69769,75243,56613,74725,92610,51068,63022,31775,27346,168847,71472,61924,81566,144432,73111,50407,36809,81060,48109,40210,89228,86812,51889,100400,122085,64339,43461,18606,61345,48287,27073,46644,32469,30340,93222,109890,53328
127,77819,41478,42428,81291,98535,103834,76330,189522,75634,152795,95992,86775,91240,134122,54444,67035,73848,81971,61331,80833,100237,54814,67682,35191,30037,185667,78026,68255,89529,157793,78329,53996,40406,88333,52893,44863,98224,92689,56699,108654,132117,70194,46370,20344,68578,52088,29965,51541,35006,33210,101892,120057,58612
128,86093,46156,47463,89193,108164,115803,83109,211683,83087,169912,106617,96457,99763,147798,60642,73573,81725,91667,69455,88570,110766,60009,74949,39678,33405,205492,86909,77886,100985,175429,87223,59506,46278,99472,59135,51308,110171,102651,64008,120309,146689,77901,51542,22491,76788,57893,33694,58634,38259,37808,113528,132841,65027
