length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
126,192130,64396,32658,32030,44272,30041,63461,40064,36867,49682,41601,63330,30820,46885,50907,28122,15486,38056,38006,35843,74918,51506,110842,39829,36895,36982,35796,74241,47356,65196,43349,39505,77788,99741,56579
127,208441,72320,36794,35438,48884,33668,70398,44654,41628,55269,45664,70546,34391,51776,55737,31280,16888,42132,41196,38548,82147,55824,122258,44165,39292,40465,39089,82301,54601,69810,46894,43606,88267,109332,61295
128,248016,83930,41910,40606,56705,38615,78615,51228,48133,62797,52000,81125,39965,58093,63806,35255,19394,47720,46995,42974,92744,62739,138272,50058,43861,45830,45068,93728,63538,76949,53318,49696,100392,122183,68933
129,331894,97208,49509,47288,65992,44282,90628,59752,56255,73423,59908,94578,47223,67700,73022,41363,22985,55219,54624,48125,105527,72616,160832,56628,50542,53641,52541,108572,74183,89198,61351,58384,116652,138309,79486
130,526533,121284,62717,58461,82213,53880,111156,74930,69683,89206,74975,118574,59677,82689,87193,52371,28205,67666,66945,57520,128638,90978,200009,68085,62258,67593,66206,135688,92746,111378,74299,71992,144857,166329,98851
131,880056,158752,82800,76219,108995,69142,141221,98149,91301,114468,97312,157653,78904,106663,110078,69147,36455,87047,86576,72953,164112,122329,263410,87072,80960,90118,88087,178887,120589,145353,95098,93646,189298,209257,131982
132,1232678,213264,112358,104030,148418,91034,183625,133526,121333,151571,127365,214527,106950,140629,140307,93203,48063,115620,115351,95238,213021,168451,356208,114619,108432,122092,121283,238546,162454,194938,126299,126026,254840,269347,180131
133,1292074,268356,141685,129446,190235,112173,224382,169324,151513,189067,155908,269121,134415,173334,169509,117082,59060,142439,143687,118756,260327,216197,447462,142106,136603,156672,152737,295165,203958,244802,156303,158332,320307,323941,226041
134,1024156,286833,149125,136930,202460,121048,235962,181444,162473,201751,163333,283484,143251,184806,176278,123612,61094,149623,149639,123641,272764,227419,475807,151884,144813,162317,161557,310564,219217,253868,164416,169932,345624,337428,234179
135,744874,266326,134169,123984,182152,115793,219940,166111,151639,186181,147526,259140,130170,172662,163973,108805,54869,137169,134122,111846,249755,196629,424859,141120,127121,141455,144706,281704,204027,219620,149001,158486,320920,308670,202357
136,605551,253333,123421,114511,163703,115671,208430,152757,142446,175582,135681,244413,120330,162901,159000,98279,51337,128923,122064,99772,231809,168316,378467,132347,111125,121978,129779,258402,194921,186589,135575,150468,299585,291474,175263
137,570282,278919,131395,123177,173520,130207,223730,162253,153685,187311,144350,270020,131746,176027,174963,102450,55346,141429,129846,104816,248424,172435,395816,141820,113443,125421,136477,275737,211798,188654,144061,166831,320865,313233,180070
138,614952,338689,158004,149805,209791,159332,261226,195481,184542,223207,169710,331459,161099,211423,209870,122789,66334,169688,155079,124319,294735,204332,468118,169827,133445,149637,164894,324760,254466,217995,171860,204509,380369,368669,213777
139,801468,416913,196751,186116,262719,196348,314250,243666,227350,271613,208240,411585,202128,261512,251458,151754,83454,207234,193054,151884,357046,254982,575495,210267,168500,188932,204654,391063,310985,272072,211592,256750,460761,443611,267692
140,1228902,496966,243186,228497,327039,228129,370517,300590,275127,321015,253547,491945,249596,317200,292788,187723,102502,245559,235945,184795,424252,318388,690495,254831,210505,238844,251877,462418,372421,340687,254269,311772,550933,521870,331191
141,1760986,563277,281948,259958,377590,248914,416775,346443,311599,359791,292230,557209,286446,360576,325534,214773,117154,274505,268935,209292,479682,367821,779155,289330,246464,275901,288325,516749,422213,397430,286558,353822,624812,588040,380526
142,2132383,597265,302828,274882,395070,258858,439059,366679,326110,378565,313056,589259,300292,384208,341543,223561,123144,285504,283532,219644,503865,384550,805242,304180,260176,287394,300474,532543,448977,417508,298175,369402,663104,624766,390638
143,2289272,609107,309554,277514,396440,265527,446425,371999,328435,382758,319798,601996,302033,393664,347068,223499,124441,289813,285363,218678,508143,375661,793745,309665,259860,279729,300653,531154,460433,412392,297996,375999,674552,637437,382739
144,2144236,621688,317100,282810,403252,276314,460220,378108,335419,389085,324262,614341,306971,404943,357651,225715,128410,294268,289528,221190,513696,372488,790529,317017,262984,279675,303268,531952,472217,412089,303755,390789,684230,641524,382182
145,1721271,633600,323808,289386,411529,289975,468608,385280,343032,392808,325954,622510,314709,418473,363371,229754,133476,300618,297202,224064,518205,369925,788536,324133,268856,281838,309286,535279,482550,410037,308198,406342,689285,642358,382665
146,1284638,637411,322887,293599,410669,302989,470507,386521,349135,394069,322166,623513,316852,426139,368956,229407,134519,303225,298723,223108,514083,360349,771757,326695,267975,275911,304923,532929,485238,396664,310726,415254,683184,632673,377121
147,1048112,655819,330487,303145,418617,320916,478653,394311,361017,407428,326614,640252,325646,440694,382338,233749,139112,311473,303941,226488,519105,358160,774236,336241,269768,276245,309076,540103,501202,386969,320183,432540,687769,635543,377630
148,1009212,692126,350133,326158,442991,347884,496011,418010,385811,439975,341987,681521,347590,466351,407732,244430,147888,327963,320521,240975,539403,372484,808196,355427,281625,289131,323945,562610,536408,393115,339716,462175,713197,655042,391087
149,1176777,738319,378841,356079,477866,377639,525612,450221,415396,475764,363682,733240,377450,500258,436323,261335,159177,352180,342225,258524,566328,399531,859284,380103,300639,311922,347148,589850,581245,414617,364640,502126,750752,681675,419916
150,1668093,787396,412001,389074,519468,401850,551107,487110,450259,510157,388001,783918,411675,533372,463380,282309,173395,376433,368921,278885,596298,432445,911655,405477,325500,340775,372669,619822,628085,443644,389591,546768,792234,709956,453391
151,2490952,838970,451344,425451,568216,421572,579807,529225,486738,548986,418150,840599,448692,566464,493432,309022,188561,400321,399711,301548,627181,473135,968793,432869,356798,379002,403571,654252,682126,479762,419007,592189,843783,741067,496791
