length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
218,108616,21357,32720,24498,32310,22257,23806,26837,21741,21009,19544,22919,26912,30351,16227,22368,20020,17294,25412,17902,13398,23597,33197,22153,37376,36402,18672,14831,33177,26507,25616,25089,16184,18336,26842
219,103624,20246,30956,23415,30290,21022,22877,25160,20597,19814,18411,21219,25463,28343,15399,21151,18976,16202,23784,16899,12279,22399,31447,20771,35550,34390,17353,13627,31286,24393,24427,23652,15160,17121,25133
220,98222,18666,29082,22199,28207,19827,21650,23535,19262,18327,17503,19754,23886,26558,14469,19976,18066,15246,22573,15465,11806,20909,29747,19746,33377,32331,16304,12651,29044,22979,23026,22184,14262,16036,23517
221,92565,17303,27755,20691,26548,18909,20135,21926,18152,17123,16790,18505,22412,24911,13599,18459,17019,14278,20837,14728,10811,19518,27769,18640,31394,30544,15508,11814,27669,21581,21330,20306,13300,14932,22158
222,87303,15949,25185,18893,24500,17565,18802,20465,16609,15889,15362,16968,20676,23331,12421,17355,15875,13383,19271,13426,9994,18249,26225,17273,29327,28486,14130,11086,25032,20093,19795,18760,12555,13621,20381
223,81383,14427,23147,17611,22584,16312,17316,18554,15560,14771,14004,15704,18897,21285,11354,15767,14553,12263,17934,12240,9044,16681,23771,15909,26560,26169,12796,10159,22998,18250,17918,17224,11277,12632,19112
224,76982,13523,21471,16199,20650,15340,16352,17021,14320,13969,13028,14272,17484,19667,10291,14406,13336,11381,16322,11149,8332,15410,21673,14812,24917,23929,11776,9157,20931,16735,16712,15664,10423,11376,17332
225,72687,12048,19730,14656,18797,14601,15041,15813,13260,12681,11993,13082,15950,18272,9533,13362,12180,10571,14916,10397,7536,14138,20444,13504,22563,22035,10807,8572,19098,15548,15160,14395,9656,10540,15565
226,68506,10109,18071,13868,17504,13708,14006,14178,12395,11603,10812,11905,14865,16851,8699,12146,11376,9631,13654,9468,7057,12875,18549,12688,20974,20235,9988,7840,17829,14289,13992,13346,8981,9730,14423
227,65868,9059,16801,12878,16338,12983,13190,13240,11499,10892,10420,11098,13864,15481,8251,11306,10659,9093,12729,8768,6638,11899,17364,12033,19574,18560,9339,7179,16502,13180,13067,12300,8176,9090,13084
228,62162,6534,15804,12214,15354,12506,12610,12362,10812,10523,9819,4895,12752,14746,7805,10315,9851,8443,11995,8165,6204,11098,16552,11335,18477,17495,8862,6879,15636,12404,12113,11697,3262,8864,12609
229,59724,6204,14918,11491,14254,12119,12298,11582,10605,10209,9434,4524,12330,13858,7158,10004,9270,8163,11291,7587,5922,10576,15821,10889,16994,16572,8207,6751,14580,11716,11393,11046,3062,8198,11577
230,57332,5697,14189,10826,13771,11628,12129,11184,10011,9400,9049,4200,11953,13163,7047,9659,8877,7841,10669,7026,5732,10091,15408,10696,16224,15776,7790,6431,13923,10937,10892,10688,2652,8001,11208
