length,EE88183,EE88184,EE88185,EE88186,EE88187,EE88188,EE88189,EE88190,EE88191,EE88192,EE88193,EE88194,EE88195,EE88196,EE88197,EE88198,EE88199,EE88200,EE88201,EE88202,EE88203,EE88204,EE88205,EE88206,EE88207,EE88208,EE88209,EE88210,EE88211,EE88212,EE88213,EE88214,EE88215,EE88216,EE88217,EE88218,EE88219,EE88220,EE88221,EE88222,EE88223,EE88224,EE88225,EE88226,EE88227,EE88228,EE88229,EE88230,EE88231,EE88232,EE88233,EE88234,EE88235,EE88236,EE88237,EE88238,EE88239,EE88240,EE88241,EE88242,EE88243,EE88244,EE88245,EE88246,EE88247,EE88248,EE88249,EE88250,EE88251,EE88252,EE88253,EE88254,EE88255,EE88256,EE88257,EE88258,EE88259,EE88260,EE88261
105,26385,23659,24288,19373,15192,15443,28507,5488,7899,12074,12047,15314,17002,18157,13298,8680,28797,41202,7589,8748,4960,6084,6324,36180,27691,15448,28631,20750,21242,25929,13815,11921,10475,15109,24786,22212,21799,10640,14983,14695,13131,13141,13921,13095,17247,11820,13044,12646,15208,14544,12558,14120,14543,17106,36727,28777,20860,9371,14716,10869,14582,12895,10946,14480,26889,23044,20759,23637,21886,13065,17453,14045,20719,18094,18687,24936,8301,13766,13078
106,28445,25247,26091,20642,16238,16907,30930,5826,8648,12853,13047,15979,18173,20206,14723,9479,30441,42863,8281,9232,5323,6546,6921,38615,28042,16504,29741,23489,22891,27329,15332,12894,11375,16207,26134,24010,23329,11566,15800,15690,13962,14010,14725,14177,18601,12992,13861,13752,16548,15660,13321,15192,16075,18235,39483,30867,22758,10545,16008,11435,15892,13685,11640,15626,28609,24377,22075,24778,23151,14507,19520,15629,22255,19891,20606,27559,9042,14752,14064
107,31389,27470,29012,22664,18113,19134,33800,6794,9584,14730,14355,17532,20513,22518,16517,10616,33104,47258,9230,10644,6114,7263,7784,40809,29810,18720,31760,25823,25327,30074,17795,14473,12953,18280,28933,26664,25732,13335,17710,17555,15329,15479,17181,16064,20997,15154,15388,15178,18067,17579,14892,16582,18321,20516,42245,33758,24988,11730,17599,13218,17664,15454,13266,17159,31567,27325,24364,27672,25796,16219,21757,17547,24592,22818,23164,31701,10163,16220,15308
108,34851,29914,31535,25770,20700,21577,37861,7491,10708,16321,16004,19132,22122,25510,18330,11484,36181,50382,10454,11380,6680,7870,8360,41576,32044,20089,34309,28433,28210,33007,19598,16377,14251,20554,31724,28979,27946,14541,19702,19431,16455,17124,19119,17992,23802,16710,17375,17059,20125,19034,16711,19347,20855,23703,45808,36853,27875,12959,19270,14621,19900,17148,14600,19259,33696,30988,27625,30946,29427,18141,23900,19449,28160,26057,26022,35674,11389,18437,17039
109,39692,33334,35704,29686,24561,25781,43740,8766,12708,19113,17493,21648,25123,29911,20909,12921,39149,55637,12017,13391,7308,9181,9533,40909,36853,22930,38339,31030,31714,36511,22012,18107,16644,22802,35182,31878,31254,16436,22594,23411,19195,20332,22640,20712,28509,18619,19883,19082,23078,22078,19498,23062,24837,28148,49867,41617,32070,14929,22614,16558,23024,19943,16953,22198,37500,37969,33481,36665,35642,21307,27909,22010,32260,29962,29974,40118,13357,21129,19058
110,47607,38810,42151,34649,30519,31748,52058,10238,15556,23282,20234,25154,28637,37146,24588,14483,43642,62690,14667,15780,8348,10795,11044,40423,43399,27217,44360,34786,36697,41797,25591,21432,19069,26911,40242,36679,35204,19078,27281,28333,22723,23999,27470,24245,35271,21449,23433,22690,26528,26366,23555,28663,30718,35412,55203,48100,38450,17765,25938,18767,27159,23440,20786,25761,43168,47045,40995,45337,44304,26120,33350,26314,38664,35876,36063,46426,15750,24404,23170
111,54699,45030,48454,40068,35234,37417,59485,11847,17593,27225,22415,28007,31751,44149,27649,16175,48173,69091,16811,17740,9279,12561,12041,40644,48631,30744,48921,38769,42056,46338,28650,24865,21304,30634,45088,41037,39651,20680,32181,32186,26327,28120,32009,27963,40891,23661,25976,25383,29483,29546,27222,33978,36345,41902,60203,54139,44510,19804,28527,21013,31258,26477,23532,29412,49041,55569,47898,52927,51621,30419,37949,30081,44384,41257,41357,53558,18654,27999,26272
112,57061,47907,50661,42223,37085,39147,60990,12529,18962,28860,23307,28589,33263,46175,29261,16933,48494,68876,18273,18468,9985,13065,12589,39796,47827,32540,49656,39533,43775,46768,29573,26137,22060,32170,47893,43596,42051,21579,33511,33996,28117,29670,33616,28881,43560,24336,26728,25917,30916,30322,28270,35321,37630,43342,63592,56545,46352,21668,29048,21925,32214,27795,24820,30469,51658,57792,49110,55332,52806,31360,40380,31278,45780,42667,42690,55993,19503,29274,27195
113,52303,46559,48010,40055,34215,35611,54801,11960,17817,27225,22363,24870,32037,42700,28143,16254,43887,62692,17706,17545,9406,12370,11928,37682,41229,31268,44226,37904,41047,42922,27766,24822,20705,30035,46290,41834,40642,20716,31121,31229,26821,27088,30412,26842,39007,23259,24891,23963,29084,28676,26216,31059,34005,38395,64741,54474,43121,20128,26724,21044,29779,25512,22880,28634,50243,50636,43346,50281,46532,29320,37744,29571,41960,37512,39219,51684,17943,27352,25679
114,49854,44828,45690,38760,31760,32812,51088,11738,16624,26088,21988,22492,32084,39869,28525,16291,41386,58798,17886,16725,9210,12156,11790,36810,36475,30620,40359,37079,39233,39359,26564,24352,20235,29294,46225,41442,40418,20366,29808,29455,26834,26055,28886,25933,35887,22604,23544,22892,27453,27324,24600,28754,31135,35229,65272,53309,40867,19485,26082,20913,28121,24459,21582,27999,49923,46221,39482,46815,42020,28111,36722,29048,39431,34808,36592,48850,17489,26258,24659
115,51491,45819,46592,39531,32718,33578,51920,11829,17533,27251,22642,22167,33316,40551,29473,17209,41658,58791,18611,17641,10072,12571,12028,37499,35965,31262,40601,38380,40172,39786,27157,25604,20486,29758,47854,42727,42858,20812,30377,30503,28475,26290,29378,27207,36004,23693,24307,22927,28719,27990,25088,29068,31386,35161,68623,54296,42095,19760,26947,21357,28865,25212,21917,28909,52016,46108,39827,47273,42173,28753,37662,29774,41472,36189,37899,51397,17921,27334,25625
116,55579,49393,51309,43576,36006,37133,55696,13209,19626,30247,25541,23495,37176,43792,32172,18726,44875,63444,20407,18905,11033,13783,13478,39471,36892,35114,42296,41342,43679,42927,29979,27934,22529,32772,52081,47948,47248,22797,33019,34084,32283,29245,32303,30131,39118,25978,26312,25021,31151,30703,27731,31456,34404,37757,72441,58026,44773,21589,29097,23293,31249,27940,23949,31700,56822,48625,42030,50761,44990,32257,41450,32460,44861,39257,41268,57077,19298,29412,27360
117,60949,52052,55815,47740,40581,41373,60706,14903,22743,33850,28588,24504,41348,48751,35046,21085,49034,69309,22724,21245,12340,15673,14866,41925,39245,39735,45147,45509,48420,47232,33744,32001,25379,37094,57885,52437,52423,25442,38000,37784,35791,32624,35628,33679,43217,29145,28803,27658,34386,34009,30652,35121,38112,42547,77172,62590,48991,24022,31957,25497,34459,31232,26877,34908,62047,54092,46200,55640,49329,35875,45926,36138,49615,44193,46337,64862,21587,32060,31172
118,66429,56473,60495,52095,46146,46654,66742,17501,25610,39647,30658,27239,45382,54913,38814,23329,52898,74367,25919,23901,13584,17411,16679,43144,42378,44933,47629,50619,53544,50657,38328,36117,28778,41775,63162,57489,57132,28508,42679,42639,40240,37546,41081,37626,49181,32916,31976,30509,37435,37498,34504,40074,43350,47320,81719,68927,54670,27242,36799,28599,38247,34695,30408,38932,67450,60791,51608,62411,55704,40304,51025,40432,55166,48888,51344,71245,24447,35545,34627
119,74923,62701,67965,59380,53562,54605,75133,20481,29938,47062,35164,30481,50260,64786,44234,25815,57026,82528,30037,27507,15373,19734,18539,42755,47518,51895,52885,57703,61390,55502,43344,41365,33097,48326,69986,63437,63018,32784,50342,49928,45692,44046,47328,43176,58043,37354,35970,34902,41936,42564,41035,47040,51230,55968,89354,78816,62227,32306,43049,33651,43969,39777,35056,44471,76204,71565,60463,72459,64598,46791,58557,45756,63750,55464,58047,79830,28304,40967,39813
120,91381,75141,82872,72123,67608,68568,91863,26443,37667,60081,40381,36805,58528,81923,52614,30839,66836,98742,37646,34174,18321,23464,21668,44345,57710,64795,62086,67761,73486,65030,52595,50795,40113,58910,82872,73737,73586,40053,62272,62584,55930,55626,59197,52237,74189,44864,43508,41749,49910,51659,51326,59802,65970,71597,98154,94280,74788,40320,52744,41285,53436,48484,42977,54133,89994,89519,75837,89986,79880,58339,70494,55174,77489,67266,70709,92829,35556,49767,48594
121,119521,97001,107749,94490,89938,89523,117032,35378,50284,79461,49976,46022,72464,108917,65554,38602,82574,122689,50157,44591,22629,29295,26716,47423,72050,85321,75215,84181,91341,78323,68082,65395,51781,76468,105979,93799,93176,51458,81945,82939,72250,73462,78476,68315,96283,56985,56147,54262,63426,66416,67776,80618,88176,95889,111481,114266,96201,51984,65400,52934,69049,62262,56037,68913,112334,115477,98046,114645,103220,75844,90489,70394,100227,86243,91295,114986,45874,63286,62522
